64,0xdb3876fab057455524fb4285087255045b6bbe97,Test token,TESTN,18
65,0x00e21edadfa282016199cf049782cd11ee558a90,Test token,TESTN,18
66,0xd62b3661a2f75367d77e21dd8b25f981b389ed01,Test token,TESTN,18
67,0xad546d6396df8869708524c410dc14ce3820ce4d,Shroom Token,SHROOM,18
68,0xe4168b936993c97beb784f6462a36a2dc242cc5d,CoolCat Token,COOL,18
68,0xe4168b936993c97beb784f6462a36a2dc242cc5d,CoolCat Token,COOL,18
68,0xdbd1526f05ce0adfdf66f51d0dd6283177a1ed06,ATRON,ATRON,18
69,0xb55c792b94e2600cf2a2dbd29a1e6dce4344682d,Placeholder Token,PLACEHOLDER,18
70,0x8ad5e80fa19976d6397e1dec636e5984bdcf3228,Qaz3,QAZ3,18
71,0x50abdc6a0eb06026e1b4e3f7840b8e9161fe6070,Resistor AI,TOR,18
72,0x9b6e46a9eab73cf8cb8dba1ca2da9f5eed46e672,Resistor AI,TOR,18
73,0x6f530221d3bc950b2f4c8583c0be2824ba1f2883,Qaz5,QAZ5,18
74,0x2f18e04083267acc032c8aed0d3a716a685a35c1,Qaz6,QAZ6,18
75,0x5b9d92dae228a2ff3ca57545e29dc63dd446f7d9,Rizo,RIZO,18
76,0xc6f70375b244318c833a59553d183a169e191a6e,AI Bull,AIBULL,18
77,0x76bf15a9685f32acfaa67c298b29735a633b02bb,AI Bull,AIBULL,18
78,0x19efb750803379b2937c4970d42be17bc2578840,AI Bull,AIBULL,18
79,0xe134acb88b9ffb43c50e4dbbee95a25216016ec2,AI Bull,AIBULL,18
80,0xb8e037bf6e276136e96ecbaf23b16682ff8a546a,AI Bull,AIBULL,18
81,0x0295a22fd22593f40be2c4ca86d6e4acfd4d8ed8,AI Bull,AIBULL,18
82,0xb40591744ec07eeea055e2409c2112d87ff68ae3,AI Bull,AIBULL,18
83,0x7476ff0109be29577d94668f6110eb4825ed6650,AIBULL,AIBULL,18
84,0x857673fc4088fb11fdcfd1790d1436fbecf6ed94,AI Bull,AIBULL,18
85,0x1335290f57d78366f2472d17b41c317af755331c,BasedSnow,SNOW,18
86,0x075c5dda65b62364e17568740ac93cd5d89ec111,AI Bull,AIBULL,18
87,0xc9b52d20391f9b146d1717fd8aacd058a414bb26,TestTokenLex1,TEST,18
88,0x0b8cc73c588e8b4ea88a1b676f736231ea60d3cb,TestTokenLex1,TEST,18
89,0x7ab7e9f4e9ab53a6c8b028df6112fc09c843b066,BasedSnow,SNOW,18
90,0x628e984df11bfd6ba2c3b8593cd1d352f06a0ff7,AI BULL,AIBULL,18
91,0xf0c3a5355d18efbdc3e0983af8d68486aba0ae36,Test SNOWMEN,SNOWW,18
92,0x7a316f84a8572a2592cbf831e8877dc064d35404,Test SNOWMEN,SNOWW,18
93,0xb4d2eb642e09c7246deed2acc4699a7da9fc8849,USDT,USDT,18
94,0xdb5dbdc6828012653ac1992ae5997b311494203c,Pepe Coin,PEPE,18
95,0xa4b53936592118d7f8e1bf06c5542245e1b92c49,KAZAR AI,$KAZAR,9
96,0xc8d8ad6092aa5929e521f81114615b113460de27,Wrapped Ether,WETH,18
97,0xcd8f454c6204c5df1090b3774cd86d381fca6106,ANTIERTWO,ANTI,4
98,0x45a2740ae723e1c0402a9dcac29e1d55d0b80942,CCC,CCC,18
99,0x3302e85e2ab4d3dc759ca2be0ccfc9cad0c88f5a,DDD,DDD,18
100,0xc68fe18d9221d7584ee16758d5016f4ceb66f45c,Bnb,BNB,18
101,0xf8187b6f83790e533dfab746cae3b2507c1196ae,USTC,USTC,18
102,0xa168250d8aa2258e320a79d4f79db5622a5a6b94,Example,EXM,18
103,0x9c84bd08d58d3dd9f362aaae5b9167282cd79e07,DDD,DDD,18
104,0x1d3d917b610867ad1c481d5f30559a566aae8c23,DWEBUSDT,DWEBUSDT,18
105,0xc3913d9e53d0e1b9dd01145bb671bdd2a9ed1227,WalletConnect,WC,18
