id,address,name,symbol,decimals
76,0x0f264f6888f10f10352c1d0beabef051bfb9b5a7,Rebasing uniETH,runiETH,18
77,0x35fa164735182de50811e8e2e824cfb9b6118ac2,ether.fi ETH,eETH,18
78,0x04c154b66cb340f3ae24111cc767e0184ed00cc6,Pirex Ether,pxETH,18
79,0xaa452d516b37314ee28a512615838e061aeb0a49, MPRO Lab    , MPRO            ,9
80,0x5cadfa46667d449a606716e2de544b7c7b974b46,SEC DAO,SEC,18
81,0x1d18f9e3a64b197cd1731bc67760ad3ee1508e06,MyPrize,MYPRIZE,18
82,0x66e2ecf82c2a898a8d8a22da800ca0dfcee6d168,OCAT,OCAT,8
83,0xef299d11587d2a11883c9c88b8ade63b531f78fa,Uniwhale AI,UNIW,9
84,0x28ed84458328fd995b805cdb14e924fac54c68db,Zeus Network,ZEUS,18
85,0x3e985250cb137fc1ff55922116934c5982d29f85,Zentu,ZENT,18
86,0x9848db32cd1ce273621273f75d22160f1984fe58,wrapped Dev AI,wDAI,18
87,0xdf2b11d6589a98cf77e8e91b78ce8f2beb3dcbf5,0G Labs,0G,9
88,0xe4cc0d23819801b9e6919bdbf46c09532258b468,Cow AI,COWAI,18
89,0xe529f7065d0d30e64f079c1eb69b0872499a091f,CATCH,CATCH,18
90,0x63f8d206f723899147e00c0cdb3f6066cccb2b87,orange car,orange,18
91,0xef3ad3c2a8c6aed67419f78e1a2c44ed12a8de65,EthMail,Mail,18
92,0x0e59dd553151ec1dd91e2d7f32cb4bcc53328250, NATIX     , NATIX             ,9
93,0xbb6efb2d5eb6b932341fdc5320c387ccc3ef0325,Roost Coin,ROOST,18
94,0x4396b7e63f562e7bb603b31d9e9368da29f9d579,Pocket Network,POKT,18
95,0xa7d95d3abe9166ca5efdf67a7727f81d04001302,Golem token,GOLEM,18
96,0x9813a4b2d93ce0a38b02d03314fdc0eb79558f97,sydney sweeney,sydney,18
97,0x74365cd546c1a4aa0f8a1bdfbdfe575530ba4511,Exposition AI,EXPO,18
98,0x9251cc32d4eb88e31bf7504550158129e2ce14b8,Humanity Protocol,HP,18
99,0xf2808c73e7c0da6aac3e9009ac77cb0edfad3b44,Chain Fusion,CFN,18
100,0xdff4cd6d5c257f40d6d182a072fc08242c55c77a,Sensor Protocol,SENSOR,18
101,0x5841afaf226c3ddfe3a36b2f5b29f271a198a68e,TOOTHLESS,TOOTH,9
102,0x88a5be570ba355a301a68b9cf3afaf41ebc0767f,SHIRO,SHIRO,18
103,0xfb08d3f11acbc140e7dedbbb0a431ebc119da395,Covert Protocol,COVERT,9
104,0xa0eeeaea46e92b35849f6f3afc9c63478a0967a0,Parcl,PRCL,18
105,0x0c8e0cfe92c66faf7d6f31aca71b1cfee00400b7,Zenith Chain,ZEN,9
106,0xb515e702728d20865ab4242d71ee961b733890cc,Ordify,ORFY,9
107,0x9f77bde5b78774a5dcab490db1792ecdf74b127c,Polychain AI,$PCAI,18
108,0x42baf9694f7b79f124958ebbd41dddf4824e6b2c,Banana PEPE,BPEPE,18
109,0x7b07bfbcd6b7ce245cc908b0e59147f11cd49afd,vitalik love sydney,vitalik💗sydney,18
110,0xe3631b9e536c7f5c202717ce652b81e1c761bc68,SuperGrok,SuperGrok,18
111,0x25f017127d90e5cb94675370f6587f67544fd441,Bottensor,BOTAO,18
112,0x44a5586d3b631eb84cdecf2c413d3aeb5bc3713e,Muse AI,MUSE,18
